case_id,status,exit_code,expected_exit,stdout_log,stderr_log
PORT-LIN-ENV-001,PASS,0,0,/home/tqc/dev/yq-fork/artifacts/portability/linux/2026-04-19_alpine_rerun_after_revert/logs/PORT-LIN-ENV-001.stdout.log,/home/tqc/dev/yq-fork/artifacts/portability/linux/2026-04-19_alpine_rerun_after_revert/logs/PORT-LIN-ENV-001.stderr.log
PORT-LIN-BLD-001,PASS,0,0,/home/tqc/dev/yq-fork/artifacts/portability/linux/2026-04-19_alpine_rerun_after_revert/logs/PORT-LIN-BLD-001.stdout.log,/home/tqc/dev/yq-fork/artifacts/portability/linux/2026-04-19_alpine_rerun_after_revert/logs/PORT-LIN-BLD-001.stderr.log
PORT-LIN-RT-001,PASS,0,0,/home/tqc/dev/yq-fork/artifacts/portability/linux/2026-04-19_alpine_rerun_after_revert/logs/PORT-LIN-RT-001.stdout.log,/home/tqc/dev/yq-fork/artifacts/portability/linux/2026-04-19_alpine_rerun_after_revert/logs/PORT-LIN-RT-001.stderr.log
PORT-LIN-RT-002,PASS,0,0,/home/tqc/dev/yq-fork/artifacts/portability/linux/2026-04-19_alpine_rerun_after_revert/logs/PORT-LIN-RT-002.stdout.log,/home/tqc/dev/yq-fork/artifacts/portability/linux/2026-04-19_alpine_rerun_after_revert/logs/PORT-LIN-RT-002.stderr.log
PORT-LIN-RT-003,PASS,0,0,/home/tqc/dev/yq-fork/artifacts/portability/linux/2026-04-19_alpine_rerun_after_revert/logs/PORT-LIN-RT-003.stdout.log,/home/tqc/dev/yq-fork/artifacts/portability/linux/2026-04-19_alpine_rerun_after_revert/logs/PORT-LIN-RT-003.stderr.log
PORT-LIN-RT-004,PASS,0,0,/home/tqc/dev/yq-fork/artifacts/portability/linux/2026-04-19_alpine_rerun_after_revert/logs/PORT-LIN-RT-004.stdout.log,/home/tqc/dev/yq-fork/artifacts/portability/linux/2026-04-19_alpine_rerun_after_revert/logs/PORT-LIN-RT-004.stderr.log
PORT-LIN-RT-005,PASS,0,0,/home/tqc/dev/yq-fork/artifacts/portability/linux/2026-04-19_alpine_rerun_after_revert/logs/PORT-LIN-RT-005.stdout.log,/home/tqc/dev/yq-fork/artifacts/portability/linux/2026-04-19_alpine_rerun_after_revert/logs/PORT-LIN-RT-005.stderr.log
PORT-LIN-TST-001,PASS,0,0,/home/tqc/dev/yq-fork/artifacts/portability/linux/2026-04-19_alpine_rerun_after_revert/logs/PORT-LIN-TST-001.stdout.log,/home/tqc/dev/yq-fork/artifacts/portability/linux/2026-04-19_alpine_rerun_after_revert/logs/PORT-LIN-TST-001.stderr.log
PORT-LIN-TST-002,PASS,0,0,/home/tqc/dev/yq-fork/artifacts/portability/linux/2026-04-19_alpine_rerun_after_revert/logs/PORT-LIN-TST-002.stdout.log,/home/tqc/dev/yq-fork/artifacts/portability/linux/2026-04-19_alpine_rerun_after_revert/logs/PORT-LIN-TST-002.stderr.log
PORT-LIN-XTR-001,FAIL,1,0,/home/tqc/dev/yq-fork/artifacts/portability/linux/2026-04-19_alpine_rerun_after_revert/logs/PORT-LIN-XTR-001.stdout.log,/home/tqc/dev/yq-fork/artifacts/portability/linux/2026-04-19_alpine_rerun_after_revert/logs/PORT-LIN-XTR-001.stderr.log
PORT-LIN-XTR-002,SKIPPED,NA,NA,/home/tqc/dev/yq-fork/artifacts/portability/linux/2026-04-19_alpine_rerun_after_revert/logs/PORT-LIN-XTR-002.stdout.log,/home/tqc/dev/yq-fork/artifacts/portability/linux/2026-04-19_alpine_rerun_after_revert/logs/PORT-LIN-XTR-002.stderr.log
