case_id,status,exit_code,expected_exit,stdout_log,stderr_log
PORT-MAC-ENV-001,PASS,0,0,/Users/tran/Desktop/CMPT 473/yq/artifacts/portability/macos/2026-04-12_1730_local/logs/PORT-MAC-ENV-001.stdout.log,/Users/tran/Desktop/CMPT 473/yq/artifacts/portability/macos/2026-04-12_1730_local/logs/PORT-MAC-ENV-001.stderr.log
PORT-MAC-BLD-001,PASS,0,0,/Users/tran/Desktop/CMPT 473/yq/artifacts/portability/macos/2026-04-12_1730_local/logs/PORT-MAC-BLD-001.stdout.log,/Users/tran/Desktop/CMPT 473/yq/artifacts/portability/macos/2026-04-12_1730_local/logs/PORT-MAC-BLD-001.stderr.log
PORT-MAC-RT-001,PASS,0,0,/Users/tran/Desktop/CMPT 473/yq/artifacts/portability/macos/2026-04-12_1730_local/logs/PORT-MAC-RT-001.stdout.log,/Users/tran/Desktop/CMPT 473/yq/artifacts/portability/macos/2026-04-12_1730_local/logs/PORT-MAC-RT-001.stderr.log
PORT-MAC-RT-002,PASS,0,0,/Users/tran/Desktop/CMPT 473/yq/artifacts/portability/macos/2026-04-12_1730_local/logs/PORT-MAC-RT-002.stdout.log,/Users/tran/Desktop/CMPT 473/yq/artifacts/portability/macos/2026-04-12_1730_local/logs/PORT-MAC-RT-002.stderr.log
PORT-MAC-RT-003,FAIL,0,0,/Users/tran/Desktop/CMPT 473/yq/artifacts/portability/macos/2026-04-12_1730_local/logs/PORT-MAC-RT-003.stdout.log,/Users/tran/Desktop/CMPT 473/yq/artifacts/portability/macos/2026-04-12_1730_local/logs/PORT-MAC-RT-003.stderr.log
PORT-MAC-RT-004,PASS,0,0,/Users/tran/Desktop/CMPT 473/yq/artifacts/portability/macos/2026-04-12_1730_local/logs/PORT-MAC-RT-004.stdout.log,/Users/tran/Desktop/CMPT 473/yq/artifacts/portability/macos/2026-04-12_1730_local/logs/PORT-MAC-RT-004.stderr.log
PORT-MAC-RT-005,PASS,0,0,/Users/tran/Desktop/CMPT 473/yq/artifacts/portability/macos/2026-04-12_1730_local/logs/PORT-MAC-RT-005.stdout.log,/Users/tran/Desktop/CMPT 473/yq/artifacts/portability/macos/2026-04-12_1730_local/logs/PORT-MAC-RT-005.stderr.log
PORT-MAC-TST-001,PASS,0,0,/Users/tran/Desktop/CMPT 473/yq/artifacts/portability/macos/2026-04-12_1730_local/logs/PORT-MAC-TST-001.stdout.log,/Users/tran/Desktop/CMPT 473/yq/artifacts/portability/macos/2026-04-12_1730_local/logs/PORT-MAC-TST-001.stderr.log
PORT-MAC-TST-002,PASS,0,0,/Users/tran/Desktop/CMPT 473/yq/artifacts/portability/macos/2026-04-12_1730_local/logs/PORT-MAC-TST-002.stdout.log,/Users/tran/Desktop/CMPT 473/yq/artifacts/portability/macos/2026-04-12_1730_local/logs/PORT-MAC-TST-002.stderr.log
PORT-MAC-XTR-001,FAIL,1,0,/Users/tran/Desktop/CMPT 473/yq/artifacts/portability/macos/2026-04-12_1730_local/logs/PORT-MAC-XTR-001.stdout.log,/Users/tran/Desktop/CMPT 473/yq/artifacts/portability/macos/2026-04-12_1730_local/logs/PORT-MAC-XTR-001.stderr.log
PORT-MAC-XTR-002,SKIPPED,NA,NA,/Users/tran/Desktop/CMPT 473/yq/artifacts/portability/macos/2026-04-12_1730_local/logs/PORT-MAC-XTR-002.stdout.log,/Users/tran/Desktop/CMPT 473/yq/artifacts/portability/macos/2026-04-12_1730_local/logs/PORT-MAC-XTR-002.stderr.log
