case_id,status,exit_code,expected_exit,stdout_log,stderr_log
PORT-WIN-ENV-001,FAIL,1,0,C:\Users\tqc\Downloads\cmpt473\yq-fork\artifacts\portability\windows\2026-04-15_2033_local\logs\PORT-WIN-ENV-001.stdout.log,C:\Users\tqc\Downloads\cmpt473\yq-fork\artifacts\portability\windows\2026-04-15_2033_local\logs\PORT-WIN-ENV-001.stderr.log
PORT-WIN-BLD-001,FAIL,1,0,C:\Users\tqc\Downloads\cmpt473\yq-fork\artifacts\portability\windows\2026-04-15_2033_local\logs\PORT-WIN-BLD-001.stdout.log,C:\Users\tqc\Downloads\cmpt473\yq-fork\artifacts\portability\windows\2026-04-15_2033_local\logs\PORT-WIN-BLD-001.stderr.log
PORT-WIN-RT-001,FAIL,1,0,C:\Users\tqc\Downloads\cmpt473\yq-fork\artifacts\portability\windows\2026-04-15_2033_local\logs\PORT-WIN-RT-001.stdout.log,C:\Users\tqc\Downloads\cmpt473\yq-fork\artifacts\portability\windows\2026-04-15_2033_local\logs\PORT-WIN-RT-001.stderr.log
PORT-WIN-RT-002,FAIL,1,0,C:\Users\tqc\Downloads\cmpt473\yq-fork\artifacts\portability\windows\2026-04-15_2033_local\logs\PORT-WIN-RT-002.stdout.log,C:\Users\tqc\Downloads\cmpt473\yq-fork\artifacts\portability\windows\2026-04-15_2033_local\logs\PORT-WIN-RT-002.stderr.log
PORT-WIN-RT-003,FAIL,1,0,C:\Users\tqc\Downloads\cmpt473\yq-fork\artifacts\portability\windows\2026-04-15_2033_local\logs\PORT-WIN-RT-003.stdout.log,C:\Users\tqc\Downloads\cmpt473\yq-fork\artifacts\portability\windows\2026-04-15_2033_local\logs\PORT-WIN-RT-003.stderr.log
PORT-WIN-RT-004,FAIL,1,0,C:\Users\tqc\Downloads\cmpt473\yq-fork\artifacts\portability\windows\2026-04-15_2033_local\logs\PORT-WIN-RT-004.stdout.log,C:\Users\tqc\Downloads\cmpt473\yq-fork\artifacts\portability\windows\2026-04-15_2033_local\logs\PORT-WIN-RT-004.stderr.log
PORT-WIN-RT-005,FAIL,1,0,C:\Users\tqc\Downloads\cmpt473\yq-fork\artifacts\portability\windows\2026-04-15_2033_local\logs\PORT-WIN-RT-005.stdout.log,C:\Users\tqc\Downloads\cmpt473\yq-fork\artifacts\portability\windows\2026-04-15_2033_local\logs\PORT-WIN-RT-005.stderr.log
PORT-WIN-TST-001,SKIPPED,NA,NA,C:\Users\tqc\Downloads\cmpt473\yq-fork\artifacts\portability\windows\2026-04-15_2033_local\logs\PORT-WIN-TST-001.stdout.log,C:\Users\tqc\Downloads\cmpt473\yq-fork\artifacts\portability\windows\2026-04-15_2033_local\logs\PORT-WIN-TST-001.stderr.log
PORT-WIN-TST-002,SKIPPED,NA,NA,C:\Users\tqc\Downloads\cmpt473\yq-fork\artifacts\portability\windows\2026-04-15_2033_local\logs\PORT-WIN-TST-002.stdout.log,C:\Users\tqc\Downloads\cmpt473\yq-fork\artifacts\portability\windows\2026-04-15_2033_local\logs\PORT-WIN-TST-002.stderr.log
PORT-WIN-XTR-001,SKIPPED,NA,NA,C:\Users\tqc\Downloads\cmpt473\yq-fork\artifacts\portability\windows\2026-04-15_2033_local\logs\PORT-WIN-XTR-001.stdout.log,C:\Users\tqc\Downloads\cmpt473\yq-fork\artifacts\portability\windows\2026-04-15_2033_local\logs\PORT-WIN-XTR-001.stderr.log
PORT-WIN-XTR-002,SKIPPED,NA,NA,C:\Users\tqc\Downloads\cmpt473\yq-fork\artifacts\portability\windows\2026-04-15_2033_local\logs\PORT-WIN-XTR-002.stdout.log,C:\Users\tqc\Downloads\cmpt473\yq-fork\artifacts\portability\windows\2026-04-15_2033_local\logs\PORT-WIN-XTR-002.stderr.log
